sequence_id,sequence,length,cross_avg_weighted_score,cross_std_weighted_score,cross_avg_reduction,cross_std_reduction,successful_datasets,cluster_56_score,cluster_56_avg_red,cluster_56_med_red,cluster_56_min_red,cluster_56_std_red,cluster_56_neg_rate,cluster_56_runs
2728,"['--speculative-execution', '--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--mem2reg', '--jump-threading', '--inferattrs', '--mem2reg', '--jump-threading', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--globalopt', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--adce', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--globalopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",55,5.563347446131181,0.0,13.479195453369611,0.0,1,5.563347446131181,13.479195453369611,8.571428571428571,-22.89156626506024,17.753485069533504,18.471337579617835,157
2745,"['--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--mem2reg', '--jump-threading', '--inferattrs', '--mem2reg', '--jump-threading', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--elim-avail-extern', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--prune-eh', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--functionattrs', '--nary-reassociate', '--aggressive-instcombine', '--jump-threading', '--slp-vectorizer', '--early-cse-memssa', '--inferattrs', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",54,5.555717480396168,0.0,13.469531455023947,0.0,1,5.555717480396168,13.469531455023947,8.571428571428571,-22.89156626506024,17.757304739291182,18.471337579617835,157
2762,"['--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--flattencfg', '--jump-threading', '--inferattrs', '--mem2reg', '--jump-threading', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--bdce', '--sroa', '--sroa', '--newgvn', '--sccp', '--sccp', '--slp-vectorizer', '--globalopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",52,5.554757720960262,0.0,13.468560299422354,0.0,1,5.554757720960262,13.468560299422354,8.571428571428571,-22.89156626506024,17.759618666638286,18.471337579617835,157
2548,"['--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--mem2reg', '--jump-threading', '--inferattrs', '--mem2reg', '--jump-threading', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--jump-threading', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--globalopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",51,5.552411938915401,0.0,13.46544848915754,0.0,1,5.552411938915401,13.46544848915754,8.571428571428571,-22.89156626506024,17.759737910100796,18.471337579617835,157
2753,"['--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--mem2reg', '--jump-threading', '--inferattrs', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--newgvn', '--globalopt', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--sccp', '--jump-threading', '--mldst-motion', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--prune-eh', '--slp-vectorizer', '--globalopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",51,5.552411938915401,0.0,13.46544848915754,0.0,1,5.552411938915401,13.46544848915754,8.571428571428571,-22.89156626506024,17.759737910100796,18.471337579617835,157
2698,"['--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--mem2reg', '--jump-threading', '--inferattrs', '--mem2reg', '--jump-threading', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--globalopt', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--jump-threading', '--early-cse-memssa', '--instcombine', '--mergefunc', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--globalopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",53,5.552411938915401,0.0,13.46544848915754,0.0,1,5.552411938915401,13.46544848915754,8.571428571428571,-22.89156626506024,17.759737910100796,18.471337579617835,157
2697,"['--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--mem2reg', '--jump-threading', '--inferattrs', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--inferattrs', '--lower-constant-intrinsics', '--sccp', '--globalopt', '--mldst-motion', '--simplifycfg', '--hotcoldsplit', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--memcpyopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",53,5.552411938915401,0.0,13.46544848915754,0.0,1,5.552411938915401,13.46544848915754,8.571428571428571,-22.89156626506024,17.759737910100796,18.471337579617835,157
2692,"['--globaldce', '--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--elim-avail-extern', '--mem2reg', '--jump-threading', '--inferattrs', '--mem2reg', '--jump-threading', '--globalopt', '--ipsccp', '--dce', '--instcombine', '--elim-avail-extern', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--jump-threading', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--globalopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",54,5.552411938915401,0.0,13.46544848915754,0.0,1,5.552411938915401,13.46544848915754,8.571428571428571,-22.89156626506024,17.759737910100796,18.471337579617835,157
2613,"['--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--die', '--mem2reg', '--jump-threading', '--inferattrs', '--instsimplify', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--inferattrs', '--lower-constant-intrinsics', '--sccp', '--globalopt', '--mldst-motion', '--simplifycfg', '--hotcoldsplit', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--memcpyopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",53,5.552411938915401,0.0,13.46544848915754,0.0,1,5.552411938915401,13.46544848915754,8.571428571428571,-22.89156626506024,17.759737910100796,18.471337579617835,157
2615,"['--early-cse-memssa', '--gvn-hoist', '--lower-constant-intrinsics', '--die', '--mem2reg', '--jump-threading', '--inferattrs', '--mem2reg', '--ipsccp', '--jump-threading', '--globalopt', '--ipsccp', '--instcombine', '--elim-avail-extern', '--elim-avail-extern', '--memcpyopt', '--newgvn', '--globalopt', '--sroa', '--early-cse', '--prune-eh', '--jump-threading', '--jump-threading', '--globalopt', '--mldst-motion', '--simplifycfg', '--nary-reassociate', '--reassociate', '--lower-expect', '--aggressive-instcombine', '--speculative-execution', '--gvn-hoist', '--simplifycfg', '--jump-threading', '--early-cse-memssa', '--elim-avail-extern', '--instcombine', '--mergefunc', '--sroa', '--sroa', '--newgvn', '--sccp', '--slp-vectorizer', '--globalopt', '--inferattrs', '--lower-expect', '--functionattrs', '--lower-expect', '--lower-expect', '--early-cse', '--early-cse-memssa', '--gvn-hoist', '--simplifycfg', '--mem2reg']",54,5.552411938915401,0.0,13.46544848915754,0.0,1,5.552411938915401,13.46544848915754,8.571428571428571,-22.89156626506024,17.759737910100796,18.471337579617835,157
