sequence,length,cross_avg_weighted_score,cross_avg_reduction,cross_std_weighted_score,cross_std_reduction,successful_datasets
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--jump-threading', '--slsr', '--early-cse-memssa', '--slp-vectorizer', '--nary-reassociate', '--lower-constant-intrinsics', '--loop-sink', '--mem2reg', '--inferattrs', '--lowerinvoke', '--mem2reg', '--early-cse', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--loop-interchange', '--mem2reg', '--sccp', '--early-cse', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--elim-avail-extern', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--jump-threading', '--lower-expect', '--lower-expect', '--globalopt', '--elim-avail-extern', '--lower-expect']",81,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--loop-unroll-and-jam', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--sccp', '--lower-constant-intrinsics', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--elim-avail-extern', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--lower-expect', '--gvn', '--globalopt', '--elim-avail-extern', '--lower-expect']",81,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--simplifycfg', '--sccp', '--mem2reg', '--sccp', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--globalopt', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--jump-threading', '--slsr', '--lower-expect', '--lower-expect', '--globalopt', '--elim-avail-extern', '--lower-expect']",79,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--sccp', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--jump-threading', '--slsr', '--lower-expect', '--lower-expect', '--globalopt', '--elim-avail-extern', '--lower-expect']",79,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--sccp', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--gvn-hoist', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--jump-threading', '--slsr', '--lower-expect', '--lower-expect', '--globalopt', '--elim-avail-extern', '--lower-expect']",79,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--sccp', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--reassociate', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--jump-threading', '--slsr', '--lower-expect', '--lower-expect', '--globalopt', '--elim-avail-extern', '--lower-expect']",78,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--dce', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--sccp', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--lower-expect', '--gvn', '--globalopt', '--elim-avail-extern', '--lower-expect']",78,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--sccp', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--elim-avail-extern', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--lower-expect', '--gvn', '--globalopt', '--elim-avail-extern', '--lower-expect']",77,7.229979423587457,13.919275413801108,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--simplifycfg', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--elim-avail-extern', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--globalopt', '--newgvn', '--simplifycfg', '--simplifycfg', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--globalopt', '--instcombine', '--sccp', '--instcombine', '--sccp', '--ipsccp', '--lower-expect', '--lower-expect', '--simplifycfg']",77,7.225803034808823,13.911331397884757,0.0,0.0,1
"['--speculative-execution', '--functionattrs', '--adce', '--simplifycfg', '--lower-expect', '--loop-reroll', '--loop-instsimplify', '--newgvn', '--mem2reg', '--gvn-hoist', '--elim-avail-extern', '--early-cse-memssa', '--dse', '--globalopt', '--speculative-execution', '--instcombine', '--simplifycfg', '--sroa', '--instcombine', '--jump-threading', '--die', '--instcombine', '--lower-constant-intrinsics', '--slp-vectorizer', '--nary-reassociate', '--nary-reassociate', '--slsr', '--loop-sink', '--loop-sink', '--prune-eh', '--mem2reg', '--inferattrs', '--mem2reg', '--inferattrs', '--early-cse', '--elim-avail-extern', '--elim-avail-extern', '--simplifycfg', '--globalopt', '--sccp', '--mem2reg', '--sccp', '--early-cse', '--gvn', '--dse', '--gvn', '--adce', '--adce', '--lowerinvoke', '--speculative-execution', '--newgvn', '--simplifycfg', '--mldst-motion', '--simplifycfg', '--gvn-hoist', '--instcombine', '--globalopt', '--elim-avail-extern', '--reassociate', '--gvn', '--gvn', '--nary-reassociate', '--loop-instsimplify', '--early-cse', '--jump-threading', '--sroa', '--newgvn', '--simplifycfg', '--simplifycfg', '--lower-expect', '--sroa', '--lower-constant-intrinsics', '--early-cse', '--lower-expect', '--instcombine', '--sccp', '--lower-expect', '--gvn', '--globalopt', '--elim-avail-extern', '--lower-expect']",81,7.225803034808823,13.911331397884757,0.0,0.0,1
